Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
XFPgwHq9H3Dnn9r2P,9 Pound Hammer - LR,Concentrate,2016-02-18,2016-02-19,,,,0.0,0.0,,0.0,0.08,0.0,0.0,0.0,0.15,0.0,0.73,0.0,0.08,0.09,0.26,0.74,0.01,0.46,0.67,0.03,0.16,0.96,0.01,0.0,,59.2,,,0.11,0.09,,0.01,,,,1.95,0.3,,9-pound-hammer-lr
XGQp6ak96SQYETy4e,Northern Lights HTFSE,Concentrate,2017-08-10,2017-08-10,2.0,0.0,0.0,,,,0.0,0.24,0.0,0.0,0.0,0.72,0.0,0.71,0.0,0.38,0.71,0.0,0.92,0.06,1.05,12.15,0.0,0.72,2.42,0.0,0.0,,7.38,0.01,33.7,0.03,0.01,1.31,0.01,,,2.35,0.01,0.32,,northern-lights-htfse
XGScx3brTt7CHH66Y,Tangie Ghost Train - Live Resin,Concentrate,2016-07-05,2016-07-07,2.0,,,0.0,0.0,,0.02,0.04,0.0,0.0,0.0,0.03,0.0,0.11,0.0,0.64,0.0,0.11,0.19,0.05,0.22,0.68,0.13,0.04,0.72,0.03,0.0,,66.4,,,0.63,0.3,,0.52,,,,2.04,0.56,,tangie-ghost-train-live-resin
XJtBA4fgJAt84zui3,The Jam,Concentrate,2016-12-01,2016-12-02,80.0,,,0.0,0.07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.1,0.27,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,,75.8,,,0.0,0.48,,0.0,,,,2.37,1.37,,the-jam
XKZgBsjNWYkwWdq4q,Pure Cookie OG - LR,Concentrate,2017-05-22,2017-05-25,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.05,0.33,0.03,0.0,0.74,0.08,0.0,0.0,0.31,0.0,0.0,81.5,1.9,,,0.0,0.0,0.55,0.0,,,4.55,0.48,0.06,,pure-cookie-og-lr
XLBgQThazjF4CjiFw,Trainwreck,Concentrate,,,11.0,0.0,0.0,,,,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,23.72,1.53,4.09,3.48,2.04,8.54,10.12,8.84,4.04,8.28,0.0,0.87,,,,,,,,,,,,,,,trainwreck
XNKeBGSunbxpYEySM,Lemon Breath #4- LRB,Concentrate,2017-07-14,2017-07-14,,0.0,0.0,,,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.05,0.1,0.85,0.0,0.34,0.67,0.19,0.14,1.06,0.0,0.0,,3.05,0.01,88.15,0.01,0.01,1.02,0.01,,,3.15,0.03,0.06,,lemon-breath-4-lrb
XNPkYJq6EbncmXYXr,Northern Lights x Riddler - LRB,Concentrate,2016-01-21,2016-01-21,,,,0.0,0.0,,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.13,0.0,0.25,0.01,0.07,0.66,0.02,0.1,0.67,0.08,0.03,0.7,0.01,0.0,,52.2,,,0.15,0.04,,0.01,,,,1.1,0.13,,northern-lights-x-riddler-lrb
XQMHPsK6deT5sZLPh,Blue Dream,Concentrate,2015-08-07,2015-08-09,49.0,,,0.0,0.12,,0.0,0.0,0.2,0.02,0.0,0.0,0.0,0.24,0.0,0.0,0.16,0.44,0.03,0.0,1.05,0.09,0.0,0.04,0.1,0.0,0.0,,79.6,,,0.22,0.29,,0.08,,,,0.41,0.07,,blue-dream
XSciDww2WZJzgkfc5,Platinum Cookie,Concentrate,2017-01-31,2017-02-02,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.06,0.45,0.16,0.0,0.89,0.8,0.06,0.05,1.28,0.0,0.0,,57.0,,,0.29,0.0,,0.49,,,,3.89,1.54,,platinum-cookie
