Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
,NooKies (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.059000000000000004,0.004,0.0,0.01,0.002,0.0,0.012,0.032,0.24,1.7169999999999999,0.028999999999999998,0.126,0.08900000000000001,0.054000000000000006,0.43,0.36,,0.147,0.31,0.028999999999999998,0.003,,3.66,0.0,24.04,0.02,0.0,0.07,0.0,0.0,0.0,1.68,0.17,0.06,,nookies
,The Grouch (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.0,0.005,0.0,0.004,0.0,0.0,0.223,0.0,0.011000000000000001,0.038,0.054000000000000006,0.0,0.0,0.174,1.26,,0.05,0.237,0.0,0.0,,1.69,0.0,22.93,0.02,0.0,0.07,0.0,0.0,0.01,0.71,0.18,0.03,,the-grouch
,Banana Kush (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.024,0.0,0.0,0.002,0.002,0.0,0.02,0.027000000000000003,0.028999999999999998,0.004,0.12300000000000001,0.203,0.0,0.40399999999999997,0.172,,0.2,0.604,0.0,0.0,,0.42,0.0,27.15,0.0,0.0,0.06,0.0,0.0,0.0,0.4,0.34,0.0,,banana-kush
,Super Silver Haze (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.003,0.005,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.006,0.086,0.025,0.0,0.298,1.383,,0.057999999999999996,0.209,0.0,0.0,,0.51,0.02,25.08,0.01,0.0,0.07,0.0,0.0,0.0,0.68,0.16,0.0,,super-silver-haze
,Girl Scout Cookies (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.0,0.013999999999999999,0.0,0.0,0.004,0.0,0.196,0.0,0.008,0.045,0.301,0.025,0.0,0.7559999999999999,0.28,,0.046,0.272,0.0,0.0,,0.48,0.0,21.76,0.01,0.0,0.08,0.0,0.0,0.0,1.05,0.09,0.0,,girl-scout-cookies
,Harlaquin GDP (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.004,0.032,0.0,0.0,0.006,0.0,0.022000000000000002,0.0,0.003,0.011000000000000001,0.342,0.025,0.0,0.685,0.644,,0.055999999999999994,0.262,0.0,0.0,,0.3,0.0,23.84,0.0,0.0,0.06,0.0,0.0,0.0,1.27,0.18,0.0,,harlaquin-gdp
,Gelato (ID-indy),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.003,0.003,0.0,0.003,0.0,0.0,0.23600000000000002,0.044000000000000004,0.013999999999999999,0.009000000000000001,0.179,0.11900000000000001,0.0,0.636,0.17,,0.129,0.5720000000000001,0.0,0.0,,0.49,0.0,19.56,0.01,0.0,0.04,0.0,0.0,0.0,0.3,0.09,0.0,,gelato
,Platinum OG (ID-indy),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.003,0.011000000000000001,0.0,0.006999999999999999,0.0,0.0,0.251,0.0,0.0,0.021,0.185,0.027999999999999997,0.0,0.599,0.677,,0.055999999999999994,0.255,0.0,0.0,,1.13,0.0,26.41,0.01,0.0,0.07,0.0,0.0,0.0,0.42,0.25,0.02,,platinum-og
,OG Kush (ID-indy),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.02,0.004,0.0,0.0,0.0,0.0,0.22699999999999998,0.0,0.024,0.023,0.07200000000000001,0.078,0.0,0.20600000000000002,1.081,,0.153,0.94,0.0,0.0,,1.22,0.03,22.24,0.01,0.0,0.09,0.0,0.0,0.0,0.59,0.09,0.0,,og-kush
,Exclusive Melts - Ghost Train Haze,"Concentrate, Inhalable",2016-11-08,,434,,,,,,0.021,0.0,0.0,0.008,0.002,0.0,0.0,0.046,0.151,0.8859999999999999,0.0,0.018000000000000002,0.067,0.017,0.091,0.28600000000000003,,0.111,0.264,0.01,0.0,,1.98,0.01,76.92,0.03,0.0,0.19,0.0,0.0,0.0,6.62,0.42,0.01,,exclusive-melts-ghost-train-haze
