strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
cookies-and-cream-con,,,,,,0.0,0.04,0.075,0.006999999999999999,0.003,0.011,0.002,0.17,0.012,0.08900000000000001,0.423,0.383,0.127,0.0,1.25,0.224,,0.3,2.733,0.0,0.0,,0.8,0.0,74.89,0.0,0.0,0.15,0.0,0.0,0.0,5.3,0.19,0.0,,0,0,1
cookies-and-cream-live-resin,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.29000000000000004,0.0,0.0,0.045,0.315,0.125,0.0,0.6950000000000001,0.425,0.0,0.035,1.195,0.0,0.0,,60.5,,,0.0,0.33999999999999997,,0.6499999999999999,,,,3.29,0.88,,0,2,0
cookies-and-cream-lr,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.02,0.03,0.21,0.13,0.0,0.46,0.22,0.0,0.0,1.21,0.0,0.0,,72.3,,,0.19,0.26,,0.44,,,,3.91,1.22,,0,1,0
cookies-chem,,,,,,,,0.0,,,,,0.0,,0.0,,0.6,1.09,,1.14,0.06,,0.0,0.0,,,21.04,2.45,,,,,0.07,0.07,,,0.47,,0.05,,1,0,0
cookies-cream,,,0.0,0.0,,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.01636363636363636,0.0,0.010454545454545454,0.07,0.6304545454545454,0.08681818181818181,0.0,0.6677272727272726,0.10545454545454545,0.01,0.0009090909090909091,0.026363636363636363,0.0,0.0,24.959090909090904,3.5081818181818174,,,0.39,0.15500000000000003,0.07047619047619051,0.14652173913043476,,,1.36,1.085,0.07150000000000002,,22,1,0
cookies-cream-1,,,,,,,,1.35,,,,,0.0,,0.0,,0.71,0.0,,0.97,0.31,,0.0,0.0,,,27.38,0.34,,,,,0.08,0.14,,,1.67,,0.05,,1,0,0
cookies-cream-120u-ice-wax,,,,,,,,,,,,,0.745,0.0,0.037000000000000005,,0.664,0.232,,1.722,0.614,,0.393,3.167,,,79.1,1.07,,,,0.13,0.41,0.34,,,,0.47,0.17,,1,0,0
cookies-cream-13,,,,,,,,0.0,,,,,0.0,,0.0,,0.49,0.0,,0.46,0.22,,0.0,0.63,,,32.18,0.35,,,,,0.1,0.18,,,1.75,,0.02,,1,0,0
cookies-cream-2,,,,,,,,0.53,,,,,0.0,,0.0,,0.41,0.0,,0.83,0.05,,0.0,0.0,,,26.4,0.36,0.04,,,0.02,0.08,0.15,,,1.72,,0.05,,1,0,0
cookies-cream-6,,,,,,,,0.09999999999999999,,,,,0.0,,0.0,,1.9866666666666666,1.0833333333333333,,0.9733333333333333,0.08333333333333333,,0.0,0.03,,,24.959999999999997,0.35999999999999993,,,,,0.07333333333333335,0.08333333333333333,,,0.7633333333333333,,0.03,,3,0,0
cookies-cream-bho,,,,,,,,0.0,,,,,0.0,,0.49,,1.36,0.0,,3.32,0.15,,0.0,0.0,,,79.37,1.86,,,,,0.23,0.43,,,2.13,,0.11,,1,0,0
cookies-crumble,,,,,,0.0,0.0,0.189,0.0,0.0,0.014,0.0,0.248,0.0,0.0,0.228,0.733,0.024,0.0,1.6769999999999998,0.023,,0.036000000000000004,0.306,0.0,0.0,,5.47,0.07,67.2,0.07,0.0,0.19,0.0,0.0,0.0,2.6,0.27,0.26,,0,0,1
cookies-haze,,,,,,0.0,0.0,0.014,0.0,0.0,0.05,0.0,0.0565,0.0,0.0055,0.093,0.058,0.1175,0.0,0.5725,0.1255,,0.0595,0.025,0.0,0.0,70.87,4.395,0.0,51.69,0.07,0.02,0.2,0.22,0.0,0.0,1.145,0.24,0.165,,1,0,1
cookies-kush,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.04,0.03,0.23,0.14,0.01,0.5,0.13,0.03,0.03,0.46,0.0,0.0,,59.7,,,0.25,0.06,,0.02,,,,1.94,0.19,,0,1,0
cookies-lr,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.02,0.09,0.59,0.06,0.0,1.06,0.07,0.01,0.03,0.48,0.0,0.0,,65.6,,,0.0,0.38,,0.56,,,,1.91,0.87,,0,1,0
cookies-n-cake-lrb,,,0.0,0.0,,0.0,0.01,0.0,0.01,0.0,0.05,0.0,0.07,0.0,0.45,0.04,0.24,0.06,0.04,0.48,0.42,0.04,0.03,0.58,0.04,0.0,,67.6,,,0.48,0.31,,0.44,,,,2.76,1.42,,0,1,0
cookies-n-chem,,,,,,,,0.0,,,,,0.0,,0.125,,0.865,0.75,,0.95,0.52,,0.0,0.0,,,20.735,3.2800000000000002,,,,0.03,0.045,0.07,,,0.52,,0.06,,2,0,0
cookies-n-chem-c173,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.01,0.0,0.1,0.16,0.0,0.02,0.16,0.0,0.0,,0.58,0.01,27.44,0.01,0.01,0.16,0.01,,,1.25,0.25,0.01,10.56,0,1,0
cookies-n-chem-lr,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.07,0.1,0.17,0.16,0.05,0.27,0.69,0.05,0.05,0.69,0.04,0.0,,1.95,0.01,86.04,0.01,0.01,0.01,0.01,,,3.3,0.64,0.15,,0,1,0
cookies-n-chem-p1-1,,,0.0,0.01,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.19,0.04,0.0,0.45,0.31,0.0,0.06,0.31,0.0,0.0,,28.1,,,0.09,0.06,,0.01,,,,1.41,0.26,11.0,0,1,0
cookies-n-cookies,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.13,0.0,0.21,0.04,0.01,0.0,0.0,0.21,1.44,0.21,0.0,0.35,0.0,0.0,,0.22,0.01,82.8,0.01,0.01,0.15,0.01,,,2.37,0.44,0.03,,0,1,0
cookies-n-cream,0.0,0.0,0.0,0.0,,0.0,0.02066666666666667,0.11025,0.0016666666666666668,0.0,0.0,0.0003333333333333333,0.09995833333333333,0.0003333333333333333,0.004083333333333334,0.027833333333333335,0.5027083333333333,0.13762499999999997,0.0016666666666666668,0.6038333333333333,0.09262500000000001,0.05,0.0105,0.17616666666666667,0.0016666666666666668,0.0,25.566666666666666,7.921666666666667,0.015000000000000001,22.326666666666668,0.07666666666666667,0.10000000000000002,0.06095238095238097,0.14565217391304347,0.0,0.0,1.522857142857143,1.6885714285714286,0.13478260869565217,7.27,18,4,2
cookies-n-cream-3,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.26,0.0,0.0,0.6,0.26,0.0,0.02,0.14,0.0,0.0,,21.6,,,0.0,0.1,,0.13,,,,1.21,0.2,12.0,0,1,0
cookies-n-cream-6,,,,,,,,0.0,,,,,0.0,,0.0,,1.56,0.892,,0.48600000000000004,0.18,,0.0,0.176,,,25.204,0.43600000000000005,,,,0.22,0.068,0.11000000000000001,,,1.27,,0.024,,5,0,0
cookies-n-cream-a,,,,,,,,0.0,,,,,0.0,,0.0,,0.54,0.0,,1.24,0.04,,0.0,0.0,,,26.03,0.78,,,,,0.07,0.19,,,1.53,,0.02,,1,0,0
cookies-n-cream-b,,,,,,,,0.0,,,,,0.0,,0.0,,0.47,0.0,,1.21,0.08,,0.0,0.0,,,23.76,0.41,,,,,0.08,0.16,,,1.49,,0.02,,1,0,0
cookies-n-cream-cured-cart,0.0,0.0,,,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.04,0.04,0.09,0.05,0.0,0.35,0.08,0.02,0.05,0.18,0.0,0.0,,2.37,0.01,61.97,0.01,0.01,0.01,0.01,,,1.98,0.3,0.01,,0,1,0
cookies-n-cream-gold-dust,,,,,,,,0.0,,,,,0.0,,0.0,,0.24,0.05,,0.36,0.08,,0.0,0.0,,,19.9,4.72,,,,0.07,2.7,0.59,,,1.2,,0.2,,1,0,0
cookies-n-cream-live-resin,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.2,0.03,0.18,0.14,0.0,0.5,0.3,0.03,0.04,1.13,0.0,0.0,77.0,1.5,,,0.0,0.0,0.45,0.0,,,5.85,0.64,0.21,,0,1,0
cookies-n-cream-lr,0.0,0.0,0.0,0.0,,0.0,0.05800000000000001,0.0,0.016,0.0,0.0,0.0,0.272,0.0,0.048,0.028000000000000004,0.316,0.10400000000000001,0.0,0.656,0.514,0.038,0.054000000000000006,0.874,0.016,0.0,78.8,1.6260000000000001,0.01,81.985,0.008,0.008,0.792,0.008,,,4.3420000000000005,0.45599999999999996,0.022,,0,5,0
cookies-n-cream-lrb,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.22499999999999998,0.0,0.025,0.04,0.245,0.02,0.005,0.7999999999999999,0.11,0.0,0.0,0.24,0.0,0.0,,2.13,0.01,79.38,0.01,0.01,0.515,0.01,,,3.76,0.24,0.12,,0,2,0
cookies-n-cream-uv,,,,,,,,0.0,,,,,0.0,,0.0,,0.18,0.0,,0.75,0.01,,0.0,0.0,,,30.16,0.27,,,,,0.06,0.16,,,2.34,,0.03,,1,0,0
cookies-n-cream-x-gsc-lr,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.5,0.05,0.0,1.01,0.24,0.03,0.0,0.38,0.0,0.0,81.3,1.8,,,0.0,0.0,0.18,0.0,,,3.57,0.36,0.12,,0,1,0
cookies-n-creme-htsfe,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.46,0.0,0.81,0.25,0.0,2.71,0.71,0.04,0.29,3.07,0.0,0.0,,3.35,0.01,33.58,0.01,0.0,0.86,0.01,,,14.65,1.69,0.18,,0,1,0
cookies-n-creme-thca,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,,0.79,0.01,90.75,0.01,0.01,0.01,0.01,,,0.0,0.01,0.01,,0,1,0
cookies-n-dream,,,,,,,,0.36,,,,,1.65,,0.09,,0.6,0.87,,1.15,0.0,,0.0,0.0,,,16.12,0.47,,,,,0.17,0.15,,,0.86,,0.06,,1,0,0
cookies-n-kush,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.11,0.0,0.0,0.06,0.25,0.2,0.0,0.75,0.14,0.0,0.16,0.31,0.0,0.0,71.7,7.0,,,0.0,0.0,0.44,0.1,,,2.14,0.4,0.03,,0,1,0
cookies-sg-ind,,,,,,0.0,0.009000000000000001,0.013,0.0,0.0,0.0,0.0,0.081,0.0,0.006,0.0,0.343,0.031,0.0,0.892,0.242,,0.059,0.421,0.0,0.0,,0.52,0.0,22.44,0.0,0.0,0.06,0.0,0.0,0.0,0.9,0.03,0.0,,0,0,1
cookies-w-cream-rosin,,,,,,0.0,0.019,0.166,0.0,0.0,0.006,0.006999999999999999,0.086,0.013,0.023,0.212,1.668,0.062,0.0,3.739,0.865,,0.117,0.698,0.0,0.0,,5.65,0.0,65.45,0.0,0.0,0.24,0.0,0.0,0.0,3.58,0.46,0.14,,0,0,1
cookies-x-hindu-x-royal-cookies-kush,,,,,,,,0.0,,,,,0.0,,0.0,,0.64,1.17,,1.34,0.52,,0.0,0.0,,,79.52,3.8,,,,,3.54,0.66,,,1.58,,0.14,,1,0,0
cookiesnchem-050118,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.2,0.0,0.07,0.23,0.37,0.16,0.0,0.97,0.82,0.0,0.17,1.31,0.05,0.0,,47.69,0.01,18.45,0.01,0.01,1.27,0.01,,,4.2,3.01,0.76,,0,1,0
cooking-bho-011716,,,,,,,,0.0,,,,,0.0,,1.47,,0.3,1.95,,0.41,0.62,,0.0,0.0,,,73.29,10.94,,,,0.1,0.12,0.45,,,0.72,,0.28,,1,0,0
cooking-mix,,,,,,,,0.0,,,,,0.0,,0.45,,0.0,1.58,,0.12,0.25,,0.0,0.0,,,52.0,12.81,,,,0.71,0.33,0.38,,,0.82,,0.7,,1,0,0
cooking-oil,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,1.02,0.0,,0.0,0.0,,,0.08,65.05,,,,0.9,,0.23,,,,1.86,0.88,,1,0,0
cooking-pot,,,,,,,,1.76,,,,,4.18,,0.0,,0.52,1.7,,3.21,0.0,,0.0,0.0,,,50.63,4.83,,,,0.03,0.56,0.26,,,1.07,0.43,0.52,,1,0,0
cooks-cream,,,,,,0.0,0.006999999999999999,0.009000000000000001,0.0,0.0,0.004,0.0,0.026,0.0,0.003,0.051,0.124,0.026,0.0,0.353,0.119,,0.043,0.199,0.0,0.0,,0.49,0.0,24.23,0.0,0.0,0.05,0.0,0.0,0.0,1.1,0.09,0.0,,0,0,1
cooper-rhyno,,,,,,0.039,0.002,0.004,0.003,0.0,0.07200000000000001,0.0,0.025,0.004,0.197,0.008,0.022,0.106,0.008,0.07,0.211,,0.05,0.051,0.006999999999999999,0.0,,1.8,0.0,3.13,0.0,0.02,9.54,1.4,0.0,0.0,0.56,0.11,0.11,,0,0,1
