strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
102815-keif-batch,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.98,0.0,,0.0,0.0,,,17.8,35.12,,,,0.41,0.63,0.54,,,1.32,1.03,1.03,,1,0,0
103,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.05,0.0,0.0,0.07,0.38,2.4050000000000002,0.0,1.235,1.06,0.0,0.025,0.115,0.0,0.0,79.68,11.65,,,0.12,0.12,0.19,0.23500000000000001,,,0.61,0.99,0.255,12.0,1,1,0
10800b,,,,,,,,0.62,,,,,2.61,,0.94,,0.11,0.91,,0.0,0.23,,0.0,2.37,,,10.26,0.53,,,,,0.15,0.1,,,0.26,0.15,0.06,,1,0,0
11,,,0.0,0.0,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.975,0.0,0.0,0.04,0.15000000000000002,0.45,0.0,1.19,0.33,0.0,0.04,0.255,0.0,0.0,11.13,6.510000000000001,,,0.11,0.12,1.3399999999999999,0.07666666666666666,,,0.18,0.3966666666666667,0.12666666666666668,13.0,3,1,0
11-2j-r,,,,,,,,0.0,,,,,3.49,,0.0,,0.28,0.0,,0.09,0.52,,0.0,1.27,,,10.19,0.51,,,,,0.14,0.07,,,0.12,0.68,0.02,,1,0,0
11-charlottes-web-sap,,,,,,,,0.0,,,,,7.5,,0.0,,0.0,0.0,,1.23,2.92,,0.0,0.0,,,1.61,1.61,,,,,53.55,8.7,,,0.63,,1.97,,1,0,0
110-canna-pi-house-blend,,,,,,,,0.0,,,,,0.0,,0.0,,0.85,0.0,,0.9,0.0,,0.0,0.0,,,68.31,1.51,,,,,0.2,0.44,,,1.08,,,,1,0,0
11800s,,,,,,,,0.84,,,,,1.82,,0.26,,1.03,0.7,,0.52,0.41,,0.0,2.55,,,11.3,0.44,,,,,0.13,0.12,,,0.3,0.21,0.04,,1,0,0
11y-griega,,,,,,,,0.36,,,,,2.92,,0.08,,0.0,0.74,,0.0,0.42,,0.0,1.94,,,10.09,1.21,,,,,0.14,0.08,,,2.28,,0.07,,1,0,0
12,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.295,0.98,0.0,1.605,0.605,0.0,0.045,0.28,0.0,0.0,34.50333333333333,7.640000000000001,,,0.12,0.07500000000000001,1.8299999999999998,0.2166666666666667,,,1.0499999999999998,0.55,0.215,12.0,3,1,0
12-16-15-04,,,,,,,,0.0,,,,,0.0,,0.0,,0.34,0.0,,0.13,0.68,,0.0,0.0,,,53.0,19.11,,,,0.13,0.16,0.28,,,2.93,,0.33,,1,0,0
