index,Strain,Type,Rating,Effects,Flavor,Description,full_descriptions
1902,snow-leopard,indica,4.6,"relaxed,euphoric,sleepy,happy,uplifted","earthy,tea,woody","snow leopard, from the mysterious breeder bodhi seeds, is one of the more unique seed strains out there, crossing the dual multinational genetics of tigermelon and snow lotus, both of which have strong haze and afghani influences as well as thai and mexican elements. the majority of observed phenotypes are indica-dominant plants that produce numerous sticky colas and a rich tropical smell with woody undertones. known for its “creeper” effect, snow leopard will eventually leave the user in a tranquil cloud, lost in deep thought and glued to their seat.","snow-leopard indica relaxed,euphoric,sleepy,happy,uplifted earthy,tea,woody snow leopard, from the mysterious breeder bodhi seeds, is one of the more unique seed strains out there, crossing the dual multinational genetics of tigermelon and snow lotus, both of which have strong haze and afghani influences as well as thai and mexican elements. the majority of observed phenotypes are indica-dominant plants that produce numerous sticky colas and a rich tropical smell with woody undertones. known for its “creeper” effect, snow leopard will eventually leave the user in a tranquil cloud, lost in deep thought and glued to their seat."
1903,snow-lotus,hybrid,4.6,"euphoric,happy,uplifted,focused,giggly","chemical,woody,diesel","snow lotus is a mostly indica cannabis strain bred by bodhi seeds. also known as goohead, snow lotus is parented by an afgooey female and a  blockhead male. ","snow-lotus hybrid euphoric,happy,uplifted,focused,giggly chemical,woody,diesel snow lotus is a mostly indica cannabis strain bred by bodhi seeds. also known as goohead, snow lotus is parented by an afgooey female and a  blockhead male. "
1904,snow-monster,indica,4.3,"relaxed,happy,euphoric,hungry,sleepy","earthy,sweet,skunk",snow monster from exotic genetix is a 70/30 indica-dominant cross between the white and starfighter. ,"snow-monster indica relaxed,happy,euphoric,hungry,sleepy earthy,sweet,skunk snow monster from exotic genetix is a 70/30 indica-dominant cross between the white and starfighter. "
1905,snow-mountain,indica,4,"uplifted,relaxed",flowery,"by combining the flavorful, high-yielding snowcap with pure kush and a rare uzbekistani line, the folks at snow high seeds have created a strain that modern kush lovers are sure to enjoy. most snow mountain phenotypes will be approximately indica-dominant and produce large resinous colas that exhibit a sweet hashy aroma and trichome-stacked sugar leaves that hash makers will covet.  the effects are described as strongly body-focused with an uplifting head high. its thc content is estimated to fall between 20-23%.","snow-mountain indica uplifted,relaxed flowery by combining the flavorful, high-yielding snowcap with pure kush and a rare uzbekistani line, the folks at snow high seeds have created a strain that modern kush lovers are sure to enjoy. most snow mountain phenotypes will be approximately indica-dominant and produce large resinous colas that exhibit a sweet hashy aroma and trichome-stacked sugar leaves that hash makers will covet.  the effects are described as strongly body-focused with an uplifting head high. its thc content is estimated to fall between 20-23%."
1906,snow-ryder,indica,4,"aroused,sleepy,uplifted,relaxed","minty,pepper,earthy","snow ryder is an indica-dominant auto-flowering strain available only in feminized seed form from sensi seeds. unlike many auto-flowering strains, snow ryder is not a dwarf, so these sturdy plants can grow as tall as four feet while still featuring short internodal spacing. it produces tight, resinous buds covered in sparkly trichomes that have a sweet-spicy, earthy, citrus flavor. the effect of these flowers is described as a deep body stone accompanied by a breezy head high.  ","snow-ryder indica aroused,sleepy,uplifted,relaxed minty,pepper,earthy snow ryder is an indica-dominant auto-flowering strain available only in feminized seed form from sensi seeds. unlike many auto-flowering strains, snow ryder is not a dwarf, so these sturdy plants can grow as tall as four feet while still featuring short internodal spacing. it produces tight, resinous buds covered in sparkly trichomes that have a sweet-spicy, earthy, citrus flavor. the effect of these flowers is described as a deep body stone accompanied by a breezy head high.  "
1907,snow-white,hybrid,4.3,"relaxed,euphoric,hungry,happy,talkative","citrus,earthy,woody","bred by nirvana seeds, snow white is a 65/35 indica/sativa hybrid. early and abundant resin production is attributed to her white widow mother.  flowering finishes in a standard 60 to 70 days from start and provides a nice balanced and steady high.","snow-white hybrid relaxed,euphoric,hungry,happy,talkative citrus,earthy,woody bred by nirvana seeds, snow white is a 65/35 indica/sativa hybrid. early and abundant resin production is attributed to her white widow mother.  flowering finishes in a standard 60 to 70 days from start and provides a nice balanced and steady high."
1908,snowland,hybrid,4.5,"relaxed,sleepy,talkative,creative,focused","earthy,lemon,flowery","a limited edition release from dna genetics, snowland is a cross of snowcap and la confidential created in an attempt to tame the huge size of snowcap while still producing large yields of potent, highly-resinous flowers. most phenotypes are compact indica-like plants with extremely dense buds and flavors ranging from fruit to diesel to sandalwood. reports indicate that snowland is very strong with a long lasting, balanced high.","snowland hybrid relaxed,sleepy,talkative,creative,focused earthy,lemon,flowery a limited edition release from dna genetics, snowland is a cross of snowcap and la confidential created in an attempt to tame the huge size of snowcap while still producing large yields of potent, highly-resinous flowers. most phenotypes are compact indica-like plants with extremely dense buds and flavors ranging from fruit to diesel to sandalwood. reports indicate that snowland is very strong with a long lasting, balanced high."
1909,snowcap,hybrid,4.1,"happy,euphoric,uplifted,focused,creative","lemon,citrus,pungent","another west coast strain that has developed quite a legacy for itself, snowcap is a potent sativa with a nice lemony scent with a hint of menthol. the effects are decidedly cerebral and should trigger creativity, happiness, and a case of the giggles. believed to be a hybrid of humbolt snow and an unknown haze, the poorly documented genetic history leaves some mystery surrounding snowcap. one thing consumers will agree on is the all-around flavor and potency of this robust strain.","snowcap hybrid happy,euphoric,uplifted,focused,creative lemon,citrus,pungent another west coast strain that has developed quite a legacy for itself, snowcap is a potent sativa with a nice lemony scent with a hint of menthol. the effects are decidedly cerebral and should trigger creativity, happiness, and a case of the giggles. believed to be a hybrid of humbolt snow and an unknown haze, the poorly documented genetic history leaves some mystery surrounding snowcap. one thing consumers will agree on is the all-around flavor and potency of this robust strain."
1910,sojay-haze,sativa,4.8,"uplifted,euphoric,talkative,relaxed,hungry","citrus,spicy/herbal,sweet","sojay haze by cresco labs is a powerful sativa with uplifting attributes. cresco farms brought the famous bc big bud and the rare grape fx together to create a sweet, satisfying flavor and deep physical effects. with pungent floral undertones and a bright citrus aroma, sojay haze offers uplifting physical energy and kind euphoria. enjoy this strain to combat fatigue, appetite loss, and depression or as a helpful companion to physical activity. ","sojay-haze sativa uplifted,euphoric,talkative,relaxed,hungry citrus,spicy/herbal,sweet sojay haze by cresco labs is a powerful sativa with uplifting attributes. cresco farms brought the famous bc big bud and the rare grape fx together to create a sweet, satisfying flavor and deep physical effects. with pungent floral undertones and a bright citrus aroma, sojay haze offers uplifting physical energy and kind euphoria. enjoy this strain to combat fatigue, appetite loss, and depression or as a helpful companion to physical activity. "
1911,somango,indica,4.3,"relaxed,hungry,focused,sleepy,euphoric","mango,sweet,flowery","somango from soma seeds is a 75% indica strain bred by crossing jack herer, super skunk, and big skunk korean. formerly known as soma #5, somango was later renamed after its fruity mango aroma. despite its heavy indica genetics, somango’s effects are uplifting and cerebrally-focused. creative minds will enjoy the clear-headed and functional euphoria brought about by somango, allowing focus and productivity. soma recommends cultivating somango in indoor soil gardens with organic nutrients, and with a 9 to 10 week flowering time.","somango indica relaxed,hungry,focused,sleepy,euphoric mango,sweet,flowery somango from soma seeds is a 75% indica strain bred by crossing jack herer, super skunk, and big skunk korean. formerly known as soma #5, somango was later renamed after its fruity mango aroma. despite its heavy indica genetics, somango’s effects are uplifting and cerebrally-focused. creative minds will enjoy the clear-headed and functional euphoria brought about by somango, allowing focus and productivity. soma recommends cultivating somango in indoor soil gardens with organic nutrients, and with a 9 to 10 week flowering time."
1912,sonic-screwdriver,sativa,4.5,"happy,euphoric,giggly,uplifted,energetic","earthy,citrus,woody","sonic screwdriver by tga subcool genetics has been dubbed one of the best yielding plants of all time. with genetic parents orange cream soda and trainwreck, sonic screwdriver leans toward the sativa side, offering stimulating effects with bright, complex terpenes of ripening citrus and forest floor. trainwreck gives this strain a strong, heady onset that hits right between the eyes, but afterwards settles into the body, exhibiting a comfortable energy throughout. this strain is ideal for overcoming lethargy, curbing minor physical pain, and stimulating the appetite. ","sonic-screwdriver sativa happy,euphoric,giggly,uplifted,energetic earthy,citrus,woody sonic screwdriver by tga subcool genetics has been dubbed one of the best yielding plants of all time. with genetic parents orange cream soda and trainwreck, sonic screwdriver leans toward the sativa side, offering stimulating effects with bright, complex terpenes of ripening citrus and forest floor. trainwreck gives this strain a strong, heady onset that hits right between the eyes, but afterwards settles into the body, exhibiting a comfortable energy throughout. this strain is ideal for overcoming lethargy, curbing minor physical pain, and stimulating the appetite. "
1913,sonoma-coma,sativa,4.5,"euphoric,uplifted,happy,focused,talkative","citrus,tropical,spicy/herbal","sonoma coma sprouted in sonoma county, california and presents itself with tight, electric green buds which produce a thick coat of trichomes that sparkle in the sunlight. contrary to what the name implies, sonoma coma is actually an energetic, uplifting sativa. the genetics remain a closely guarded recipe but are impressive enough to claim the prize for 1st place sativa at the 2012 high times medical cannabis cup in los angeles. a complex mixture of sweet tropical fruits and spiced, woody undertones combine to give sonoma coma its distinct aroma. the flavor maintains the aroma’s complex characteristics but provides a smooth mellow finish. true to its sativa heritage, sonoma coma produces an energetic invasion of heady effects that produce bursts of creativity and euphoria. this strain is also known to induce a case of the munchies, so it makes a great remedy to a diminished appetite.","sonoma-coma sativa euphoric,uplifted,happy,focused,talkative citrus,tropical,spicy/herbal sonoma coma sprouted in sonoma county, california and presents itself with tight, electric green buds which produce a thick coat of trichomes that sparkle in the sunlight. contrary to what the name implies, sonoma coma is actually an energetic, uplifting sativa. the genetics remain a closely guarded recipe but are impressive enough to claim the prize for 1st place sativa at the 2012 high times medical cannabis cup in los angeles. a complex mixture of sweet tropical fruits and spiced, woody undertones combine to give sonoma coma its distinct aroma. the flavor maintains the aroma’s complex characteristics but provides a smooth mellow finish. true to its sativa heritage, sonoma coma produces an energetic invasion of heady effects that produce bursts of creativity and euphoria. this strain is also known to induce a case of the munchies, so it makes a great remedy to a diminished appetite."
1914,sorcerers-apprentice,hybrid,5,"tingly,focused,aroused,uplifted,energetic","sweet,tropical","sorcerer’s apprentice by bodhi seeds sprinkles a little magic in your bowl. created through some mystical cannabis alchemy, this strain’s genetic parents are cheech wizard crossed with appalachia. this hybrid pairing conjures sweet, creamy aromas with a subtle note of chemicals on the rim. it is known for its dreamy, contemplative mental state and functional relaxation. ","sorcerers-apprentice hybrid tingly,focused,aroused,uplifted,energetic sweet,tropical sorcerer’s apprentice by bodhi seeds sprinkles a little magic in your bowl. created through some mystical cannabis alchemy, this strain’s genetic parents are cheech wizard crossed with appalachia. this hybrid pairing conjures sweet, creamy aromas with a subtle note of chemicals on the rim. it is known for its dreamy, contemplative mental state and functional relaxation. "
1915,soul-assassin-og,hybrid,4.5,"relaxed,euphoric,happy,focused,sleepy","diesel,lemon,pungent","soul assassin og is an og kush variety bred by the soul assassins crew, a collective of musicians and artists affiliated with the hip hop group cypress hill. while the genetics remain unclassified, there have been rumblings through the underground that lemon thai is the mistress responsible for influencing og kush into its soul assassin og offspring. it is an indica-dominant hybrid that produces smooth, expansive smoke with and aroma of pungent diesel and citrus fumes. soul assassin og evokes sleepy, knockout indica effects that help silence any pain, stress, or tension from a long a day.","soul-assassin-og hybrid relaxed,euphoric,happy,focused,sleepy diesel,lemon,pungent soul assassin og is an og kush variety bred by the soul assassins crew, a collective of musicians and artists affiliated with the hip hop group cypress hill. while the genetics remain unclassified, there have been rumblings through the underground that lemon thai is the mistress responsible for influencing og kush into its soul assassin og offspring. it is an indica-dominant hybrid that produces smooth, expansive smoke with and aroma of pungent diesel and citrus fumes. soul assassin og evokes sleepy, knockout indica effects that help silence any pain, stress, or tension from a long a day."
1917,soulshine-aloha,indica,0,"tingly,uplifted,euphoric,focused,happy",none,"aloha by soulshine cannabis (not to be mistaken with the sativa-dominant variety of aloha) is a deeply sedative strain best saved for the evening. this indica-dominant variety is a mixture of ice princess (cinderella 99 x white widow) and hawaiian big bud. aloha’s odor is pleasant and forest-like, giving off earthy and skunky terpenes. the flavor is also earthy, but retains a hint sweetness on the exhale. aloha hits hard and fast, weighing heavily on the eyelids and the limbs. its high potency makes it a natural fit for seasoned consumers, and its deep relaxation makes it worthwhile for those seeking relief from insomnia and anxiety.    ","soulshine-aloha indica tingly,uplifted,euphoric,focused,happy none aloha by soulshine cannabis (not to be mistaken with the sativa-dominant variety of aloha) is a deeply sedative strain best saved for the evening. this indica-dominant variety is a mixture of ice princess (cinderella 99 x white widow) and hawaiian big bud. aloha’s odor is pleasant and forest-like, giving off earthy and skunky terpenes. the flavor is also earthy, but retains a hint sweetness on the exhale. aloha hits hard and fast, weighing heavily on the eyelids and the limbs. its high potency makes it a natural fit for seasoned consumers, and its deep relaxation makes it worthwhile for those seeking relief from insomnia and anxiety.    "
1918,sour-alien,hybrid,4.3,"relaxed,creative,giggly,happy,uplifted","diesel,lemon,pungent","sour alien, bred by cali connection, is a 60% indica-dominant hybrid cross between alien kush and sour diesel.","sour-alien hybrid relaxed,creative,giggly,happy,uplifted diesel,lemon,pungent sour alien, bred by cali connection, is a 60% indica-dominant hybrid cross between alien kush and sour diesel."
1919,sour-amnesia,sativa,4.6,"happy,uplifted,euphoric,relaxed,energetic","sweet,diesel,earthy","hortilab seeds has created a potent sativa blend by bringing together sour diesel and amnesia, two legendary strains from opposite sides of the world. sour amnesia has an earthy, floral aroma that is enhanced by the citrus, diesel zest of sour diesel. after taking 2nd place in the sativa cup at the high times cannabis cup in 2012, the strain has been celebrated for its soaring, uplifting effects and is appreciated by commercial breeders and connoisseur growers alike.","sour-amnesia sativa happy,uplifted,euphoric,relaxed,energetic sweet,diesel,earthy hortilab seeds has created a potent sativa blend by bringing together sour diesel and amnesia, two legendary strains from opposite sides of the world. sour amnesia has an earthy, floral aroma that is enhanced by the citrus, diesel zest of sour diesel. after taking 2nd place in the sativa cup at the high times cannabis cup in 2012, the strain has been celebrated for its soaring, uplifting effects and is appreciated by commercial breeders and connoisseur growers alike."
1920,sour-ape,indica,4.2,"relaxed,giggly,hungry,energetic,happy","skunk,citrus,diesel","another finely crafted strain by colorado growers at joseph arthur botanicals, sour ape is an 80/20 indica-dominant hybrid cross between the legendary sour diesel and grape ape. with fast-acting, long-lasting cerebral effects, sour ape is very popular among medical patients. hints of purple peek through from under a heavy blanket of crystal resin, and its aroma is just as enticing. sweet fruity flavors soured by pungent diesel notes introduce sour ape’s potently uplifting effects powered by a thc content that averages between 20-26% thc.","sour-ape indica relaxed,giggly,hungry,energetic,happy skunk,citrus,diesel another finely crafted strain by colorado growers at joseph arthur botanicals, sour ape is an 80/20 indica-dominant hybrid cross between the legendary sour diesel and grape ape. with fast-acting, long-lasting cerebral effects, sour ape is very popular among medical patients. hints of purple peek through from under a heavy blanket of crystal resin, and its aroma is just as enticing. sweet fruity flavors soured by pungent diesel notes introduce sour ape’s potently uplifting effects powered by a thc content that averages between 20-26% thc."
1921,sour-apple,hybrid,4.2,"relaxed,happy,euphoric,uplifted,sleepy","apple,sweet,pungent","expect to pucker up, because this strain will send your tastebuds a-tinglin’. bright green in color with a distinct sour apple candy aroma, sour apple lives up to its name. you won’t get a sugar rush from this strain, however, but it may leave you stuck on the couch. this indica-dominant hybrid is good for after work or on a lazy afternoon. a cross between sour diesel and cinderella 99, sour apple at its best is extremely potent and full-bodied. try this strain if you’re looking to relax and ease stress.","sour-apple hybrid relaxed,happy,euphoric,uplifted,sleepy apple,sweet,pungent expect to pucker up, because this strain will send your tastebuds a-tinglin’. bright green in color with a distinct sour apple candy aroma, sour apple lives up to its name. you won’t get a sugar rush from this strain, however, but it may leave you stuck on the couch. this indica-dominant hybrid is good for after work or on a lazy afternoon. a cross between sour diesel and cinderella 99, sour apple at its best is extremely potent and full-bodied. try this strain if you’re looking to relax and ease stress."
1922,sour-banana-sherbet,hybrid,4.7,"relaxed,happy,euphoric,uplifted,focused","sweet,diesel,tree,fruit","this powerful hybrid from crockett family farms is the result of crossing aj’s sour diesel with banana sherbet. a thc content between 18% and 24% means sour banana sherbet is a heavy hitter, and it reportedly makes excellent concentrates. the terpene profile is a mix of sour fruit and diesel fuel flavors. while it is very easy to grow, it will stretch a great deal, so height management techniques must be employed when growing indoors.","sour-banana-sherbet hybrid relaxed,happy,euphoric,uplifted,focused sweet,diesel,tree,fruit this powerful hybrid from crockett family farms is the result of crossing aj’s sour diesel with banana sherbet. a thc content between 18% and 24% means sour banana sherbet is a heavy hitter, and it reportedly makes excellent concentrates. the terpene profile is a mix of sour fruit and diesel fuel flavors. while it is very easy to grow, it will stretch a great deal, so height management techniques must be employed when growing indoors."
1923,sour-breath,sativa,4,"creative,energetic,focused,happy,uplifted","diesel,apricot,pine","sour breath is an odiferous sativa-dominant strain from parent strains lamb’s bread and sour diesel. this strain imbues consumers with uplifting mental effects and stimulating physical effects that prompt activity. the sour, fuel-forward terpene profile of sour breath makes it loud out of the jar, so be prepare for a room-filling aroma. enjoy sour breath throughout the day, but mind your dosage as anxiety is a possible side effect after heavy consumption, especially in unseasoned consumers.  ","sour-breath sativa creative,energetic,focused,happy,uplifted diesel,apricot,pine sour breath is an odiferous sativa-dominant strain from parent strains lamb’s bread and sour diesel. this strain imbues consumers with uplifting mental effects and stimulating physical effects that prompt activity. the sour, fuel-forward terpene profile of sour breath makes it loud out of the jar, so be prepare for a room-filling aroma. enjoy sour breath throughout the day, but mind your dosage as anxiety is a possible side effect after heavy consumption, especially in unseasoned consumers.  "
1924,sour-bubba,indica,4.5,"happy,euphoric,uplifted,relaxed,sleepy","earthy,diesel,flowery","sour bubba blends two famous strains that are robust all on their own but, when unified, show unique flavors and effects that speak to their long, potent lineages. with forward-leaning mental stimulation brought on by diesel and a high-end kush oriented body aura brought on by bubba, sour bubba relaxes while providing ample mental energy to enjoy stationary activities like board games, video games, and movies.  ","sour-bubba indica happy,euphoric,uplifted,relaxed,sleepy earthy,diesel,flowery sour bubba blends two famous strains that are robust all on their own but, when unified, show unique flavors and effects that speak to their long, potent lineages. with forward-leaning mental stimulation brought on by diesel and a high-end kush oriented body aura brought on by bubba, sour bubba relaxes while providing ample mental energy to enjoy stationary activities like board games, video games, and movies.  "
1925,sour-bubble,indica,4.6,"relaxed,happy,uplifted,creative,giggly","sweet,pungent,earthy","sour bubble is an indica bred by b.o.g. seeds parented solely by bog bubble. these sticky buds offer a sweet, fruity aroma with diesel undertones, and deliver relaxing, uplifting effects. sour bubble is useful for treating pain, insomnia, muscle spasms, anxiety, and nausea. indoor or outdoor grows are recommended for intermediate growers, who can expect moderate grows with a flowering time between 7 and 8 weeks.","sour-bubble indica relaxed,happy,uplifted,creative,giggly sweet,pungent,earthy sour bubble is an indica bred by b.o.g. seeds parented solely by bog bubble. these sticky buds offer a sweet, fruity aroma with diesel undertones, and deliver relaxing, uplifting effects. sour bubble is useful for treating pain, insomnia, muscle spasms, anxiety, and nausea. indoor or outdoor grows are recommended for intermediate growers, who can expect moderate grows with a flowering time between 7 and 8 weeks."
1926,sour-candy,hybrid,4.5,"happy,creative,focused,uplifted,energetic","diesel,earthy,sweet","sour candy is a predominantly sativa mix of sour diesel and bubble gum. both parent strains are admired for their exquisite flavors and the happy, uplifting effects they produce. once combined, sour candy takes on a mouth-watering array of sweet, tropical fruit flavors with a pungent diesel finish. the potent effects are euphoric and talkative which makes sour candy a popular choice for daytime use.","sour-candy hybrid happy,creative,focused,uplifted,energetic diesel,earthy,sweet sour candy is a predominantly sativa mix of sour diesel and bubble gum. both parent strains are admired for their exquisite flavors and the happy, uplifting effects they produce. once combined, sour candy takes on a mouth-watering array of sweet, tropical fruit flavors with a pungent diesel finish. the potent effects are euphoric and talkative which makes sour candy a popular choice for daytime use."
1927,sour-chees,hybrid,4.3,"happy,uplifted,talkative,relaxed,creative","cheese,pungent,lime","sour cheese is a happy hybrid strain that is great for getting social and creative. this cross of cheese and sour diesel (or possibly strawberry diesel) leaves many feeling ready to make art, listen to music, or get philosophical with friends. these plants flower in 8 to 9 weeks, grow well indoors and out, and tend to produce high yields.","sour-chees hybrid happy,uplifted,talkative,relaxed,creative cheese,pungent,lime sour cheese is a happy hybrid strain that is great for getting social and creative. this cross of cheese and sour diesel (or possibly strawberry diesel) leaves many feeling ready to make art, listen to music, or get philosophical with friends. these plants flower in 8 to 9 weeks, grow well indoors and out, and tend to produce high yields."
1928,sour-cherry-sherbert,hybrid,0,none,none,"sour cherry sherbert by tko reserve is a sativa-dominant hybrid with a unique terpene profile and uplifting effects. this strain was created by crossing laughing gas with sunset sherbet, and it can motivate a pleasant shift in mood as well as dull pain. the aroma is a mixture of tart cherries and diesel while the flavor is a touch more herbal, expressing notes of hops, pine, lavender, and cinnamon. enjoy sour cherry sherbert throughout the day to stimulate creativity while combating minor aches and pains.","sour-cherry-sherbert hybrid none none sour cherry sherbert by tko reserve is a sativa-dominant hybrid with a unique terpene profile and uplifting effects. this strain was created by crossing laughing gas with sunset sherbet, and it can motivate a pleasant shift in mood as well as dull pain. the aroma is a mixture of tart cherries and diesel while the flavor is a touch more herbal, expressing notes of hops, pine, lavender, and cinnamon. enjoy sour cherry sherbert throughout the day to stimulate creativity while combating minor aches and pains."
1929,sour-chocolate,sativa,3.9,"uplifted,sleepy,creative,happy,talkative","diesel,sweet,earthy","sour chocolate sounds like a weird combination, but this sativa-dominant strain’s sweet and sour flavor is one of the best things about it. it has enough oomph to relax the body and the mind, making it a good choice for the end of a long day.","sour-chocolate sativa uplifted,sleepy,creative,happy,talkative diesel,sweet,earthy sour chocolate sounds like a weird combination, but this sativa-dominant strain’s sweet and sour flavor is one of the best things about it. it has enough oomph to relax the body and the mind, making it a good choice for the end of a long day."
1930,sour-chunk,hybrid,4.3,"relaxed,creative,uplifted,euphoric,hungry","sweet,lime,earthy",sour chunk is a hybrid strain that combines the potency of a deep chunk indica with the pungent skunky aroma of east coast sour diesel. ,"sour-chunk hybrid relaxed,creative,uplifted,euphoric,hungry sweet,lime,earthy sour chunk is a hybrid strain that combines the potency of a deep chunk indica with the pungent skunky aroma of east coast sour diesel. "
1931,sour-cookies,hybrid,4.4,"relaxed,happy,talkative,euphoric,uplifted","diesel,sweet,earthy","sour cookies is a blend of girl scout cookies and sour diesel. this cross combines the medical-grade sedation of gsc with the uplifted, cerebral, mood enhancing effects of sour diesel. the smell is doughy and pungent with overtones of fuel and hash. enjoy this strain in small doses to harness the sativa-dominant effects, but with consistent use, this strain envelops the consumer in a weighted couch-lock that can persist for over an hour.   ","sour-cookies hybrid relaxed,happy,talkative,euphoric,uplifted diesel,sweet,earthy sour cookies is a blend of girl scout cookies and sour diesel. this cross combines the medical-grade sedation of gsc with the uplifted, cerebral, mood enhancing effects of sour diesel. the smell is doughy and pungent with overtones of fuel and hash. enjoy this strain in small doses to harness the sativa-dominant effects, but with consistent use, this strain envelops the consumer in a weighted couch-lock that can persist for over an hour.   "
1932,sour-cream,hybrid,4.3,"happy,relaxed,euphoric,focused,uplifted","diesel,earthy,sweet","sour cream is a sativa-dominant cross between g-13 haze and sour diesel, which lends this strain a sour, fuel-like aroma. despite its haze descent, sour cream’s effects are somewhat sedating and heavy. this strain is perfect for a relaxing night in, and anyone looking for instant stress relief will find it in sour cream. though suited for indoor gardens, this sativa hybrid does well in greenhouse cultivation and has a flowering time of 70 to 77 days.","sour-cream hybrid happy,relaxed,euphoric,focused,uplifted diesel,earthy,sweet sour cream is a sativa-dominant cross between g-13 haze and sour diesel, which lends this strain a sour, fuel-like aroma. despite its haze descent, sour cream’s effects are somewhat sedating and heavy. this strain is perfect for a relaxing night in, and anyone looking for instant stress relief will find it in sour cream. though suited for indoor gardens, this sativa hybrid does well in greenhouse cultivation and has a flowering time of 70 to 77 days."
1933,sour-diesel,sativa,4.4,"happy,uplifted,euphoric,energetic,relaxed","diesel,pungent,earthy","sour diesel, sometimes called sour d, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. this fast-acting strain delivers energizing, dreamy cerebral effects that have pushed sour diesel to its legendary status. stress, pain, and depression fade away in long-lasting relief that makes sour diesel a top choice among medical patients. this strain took root in the early 90's, and it is believed to have descended from chemdawg 91 and super skunk.","sour-diesel sativa happy,uplifted,euphoric,energetic,relaxed diesel,pungent,earthy sour diesel, sometimes called sour d, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. this fast-acting strain delivers energizing, dreamy cerebral effects that have pushed sour diesel to its legendary status. stress, pain, and depression fade away in long-lasting relief that makes sour diesel a top choice among medical patients. this strain took root in the early 90's, and it is believed to have descended from chemdawg 91 and super skunk."
1934,sour-dream,hybrid,4.4,"happy,euphoric,creative,tingly,uplifted","diesel,earthy,blueberry","sour dream is the energetic daughter of a blue dream and sour diesel cross. featuring a strong, sour, fuel-like aroma, this hybrid takes after its diesel heritage. a sativa-dominant hybrid, sour dream is extremely uplifting and fun. its euphoric effects make this a great social strain. perfect for being out and about, sour dream will ease anxiety while giving you energy equivalent to a cup of coffee.","sour-dream hybrid happy,euphoric,creative,tingly,uplifted diesel,earthy,blueberry sour dream is the energetic daughter of a blue dream and sour diesel cross. featuring a strong, sour, fuel-like aroma, this hybrid takes after its diesel heritage. a sativa-dominant hybrid, sour dream is extremely uplifting and fun. its euphoric effects make this a great social strain. perfect for being out and about, sour dream will ease anxiety while giving you energy equivalent to a cup of coffee."
1935,sour-dubble,hybrid,4.9,"talkative,happy,relaxed,creative,uplifted","diesel,pungent,flowery","originally a mysterious clone-only strain of unknown heritage, sour dubble is thought to be a cross of east coast sour diesel and sour bubble. b.o.g. seeds recreated sour dubble using rez dog’s sour diesel ibl instead of the ecsd and the results are very similar, if more indica-like than the original sativa-dominant hybrid. dense buds with copious amounts of trichomes produce a pungent, sweet n’ sour odor and a strong diesel flavor with a sweet fruity aftertaste. the high of sour dubble is a nice blend of head and body effects.","sour-dubble hybrid talkative,happy,relaxed,creative,uplifted diesel,pungent,flowery originally a mysterious clone-only strain of unknown heritage, sour dubble is thought to be a cross of east coast sour diesel and sour bubble. b.o.g. seeds recreated sour dubble using rez dog’s sour diesel ibl instead of the ecsd and the results are very similar, if more indica-like than the original sativa-dominant hybrid. dense buds with copious amounts of trichomes produce a pungent, sweet n’ sour odor and a strong diesel flavor with a sweet fruity aftertaste. the high of sour dubble is a nice blend of head and body effects."
1936,sour-flower,sativa,4.3,"energetic,happy,aroused,uplifted,focused","berry,earthy,pine",sour flower provides an uplifting sativa high and is good for relieving pain and anxiety.  ,"sour-flower sativa energetic,happy,aroused,uplifted,focused berry,earthy,pine sour flower provides an uplifting sativa high and is good for relieving pain and anxiety.  "
1937,sour-grape,hybrid,4.2,"relaxed,happy,uplifted,hungry,energetic","grape,sweet,berry","get ready to pucker up, because this strain truly tastes like sour grapes. a pungent cross between sour diesel and granddaddy purple, sour grape has a very sour, fuel-like scent with fruity aftertones. introspective and relaxing, this strain is great for winding down with a cup of tea or a low-key evening with friends. sour grape walks the fine line between energizing and calming, relaxing the muscles while avoiding the strong sedative effects found in pure indicas. this strain works well for consumers suffering from stress and muscle tension. it’s different from the craft strain “sour grapes,” so remember to ask your budtender which one they carry.","sour-grape hybrid relaxed,happy,uplifted,hungry,energetic grape,sweet,berry get ready to pucker up, because this strain truly tastes like sour grapes. a pungent cross between sour diesel and granddaddy purple, sour grape has a very sour, fuel-like scent with fruity aftertones. introspective and relaxing, this strain is great for winding down with a cup of tea or a low-key evening with friends. sour grape walks the fine line between energizing and calming, relaxing the muscles while avoiding the strong sedative effects found in pure indicas. this strain works well for consumers suffering from stress and muscle tension. it’s different from the craft strain “sour grapes,” so remember to ask your budtender which one they carry."
